table,column,bins,table_column
bmsql_config,cfg_name,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",bmsql_config.cfg_name
bmsql_config,cfg_value,"[ 100.    105.58  111.16  116.74  122.32  127.9   133.48  139.06  144.64
  150.22  155.8   161.38  166.96  172.54  178.12  183.7   189.28  198.58
  215.32  232.06  248.8   265.54  282.28  299.02  315.76  332.5   349.24
  365.98  382.72  399.46  416.2   432.94  449.68  466.42  724.64 1103.6
 1482.56 1861.52 2240.48 2619.44 2998.4  3377.36 3756.32 4135.28 4514.24
 4893.2  5272.16 5651.12 6030.08 6409.04 6788.  ]",bmsql_config.cfg_value
bmsql_customer,c_w_id,"[  1.     2.98   4.96   6.94   8.92  10.9   12.88  14.86  16.84  18.82
  20.8   22.78  24.76  26.74  28.72  30.7   32.68  34.66  36.64  38.62
  40.6   42.58  44.56  46.54  48.52  50.5   52.48  54.46  56.44  58.42
  60.4   62.38  64.36  66.34  68.32  70.3   72.28  74.26  76.24  78.22
  80.2   82.18  84.16  86.14  88.12  90.1   92.08  94.06  96.04  98.02
 100.  ]",bmsql_customer.c_w_id
bmsql_customer,c_d_id,"[ 1.   1.   1.   1.   1.   1.9  2.   2.   2.   2.   2.8  3.   3.   3.
  3.   3.7  4.   4.   4.   4.   4.6  5.   5.   5.   5.   5.5  6.   6.
  6.   6.   6.4  7.   7.   7.   7.   7.3  8.   8.   8.   8.   8.2  9.
  9.   9.   9.   9.1 10.  10.  10.  10.  10. ]",bmsql_customer.c_d_id
bmsql_customer,c_id,"[1.00000e+00 6.09800e+01 1.20960e+02 1.80940e+02 2.40920e+02 3.00900e+02
 3.60880e+02 4.20860e+02 4.80840e+02 5.40820e+02 6.00800e+02 6.60780e+02
 7.20760e+02 7.80740e+02 8.40720e+02 9.00700e+02 9.60680e+02 1.02066e+03
 1.08064e+03 1.14062e+03 1.20060e+03 1.26058e+03 1.32056e+03 1.38054e+03
 1.44052e+03 1.50050e+03 1.56048e+03 1.62046e+03 1.68044e+03 1.74042e+03
 1.80040e+03 1.86038e+03 1.92036e+03 1.98034e+03 2.04032e+03 2.10030e+03
 2.16028e+03 2.22026e+03 2.28024e+03 2.34022e+03 2.40020e+03 2.46018e+03
 2.52016e+03 2.58014e+03 2.64012e+03 2.70010e+03 2.76008e+03 2.82006e+03
 2.88004e+03 2.94002e+03 3.00000e+03]",bmsql_customer.c_id
bmsql_customer,c_discount,"[0.     0.0099 0.0199 0.0298 0.0399 0.0499 0.06   0.0699 0.0798 0.0899
 0.0998 0.1098 0.1199 0.1298 0.1398 0.1499 0.1599 0.1698 0.1798 0.1898
 0.1998 0.2097 0.2197 0.2298 0.2399 0.2498 0.2598 0.2699 0.2798 0.2898
 0.2998 0.3099 0.32   0.33   0.34   0.3501 0.3601 0.37   0.3801 0.3901
 0.4002 0.4102 0.4201 0.4302 0.4401 0.4501 0.4601 0.4701 0.4801 0.4901
 0.5   ]",bmsql_customer.c_discount
bmsql_customer,c_credit,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",bmsql_customer.c_credit
bmsql_customer,c_last,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",bmsql_customer.c_last
bmsql_customer,c_first,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",bmsql_customer.c_first
bmsql_customer,c_credit_lim,"[50000. 50000. 50000. 50000. 50000. 50000. 50000. 50000. 50000. 50000.
 50000. 50000. 50000. 50000. 50000. 50000. 50000. 50000. 50000. 50000.
 50000. 50000. 50000. 50000. 50000. 50000. 50000. 50000. 50000. 50000.
 50000. 50000. 50000. 50000. 50000. 50000. 50000. 50000. 50000. 50000.
 50000. 50000. 50000. 50000. 50000. 50000. 50000. 50000. 50000. 50000.
 50000.]",bmsql_customer.c_credit_lim
